ndx:	HR:MN:SC:1/128s:	x:	y:	z:	unit factor			x:	y:	z:
185	00:00:03:120	2	0	251				0,007955148	0	0,99837105
186	00:00:03:120	-2	2	253				-0,007955148	0,007955148	1,006326198
187	00:00:03:120	1	1	253				0,003977574	0,003977574	1,006326198
188	00:00:03:120	1	2	250				0,003977574	0,007955148	0,994393476
189	00:00:03:121	1	1	252				0,003977574	0,003977574	1,002348624
190	00:00:03:121	0	2	249				0	0,007955148	0,990415902
191	00:00:03:121	1	2	250				0,003977574	0,007955148	0,994393476
192	00:00:03:121	0	2	251				0	0,007955148	0,99837105
193	00:00:03:121	0	2	249				0	0,007955148	0,990415902
194	00:00:03:121	0	0	254				0	0	1,010303772
195	00:00:03:121	-1	3	249				-0,003977574	0,011932722	0,990415902
196	00:00:03:121	0	3	248				0	0,011932722	0,986438328
197	00:00:03:121	0	3	251				0	0,011932722	0,99837105
198	00:00:03:121	2	1	251				0,007955148	0,003977574	0,99837105
199	00:00:03:121	0	0	251				0	0	0,99837105
0	00:00:05:022	0	1	252				0	0,003977574	1,002348624
1	00:00:05:023	0	1	250				0	0,003977574	0,994393476
2	00:00:05:023	0	1	249				0	0,003977574	0,990415902
3	00:00:05:023	1	2	249				0,003977574	0,007955148	0,990415902
4	00:00:05:023	1	2	251				0,003977574	0,007955148	0,99837105
5	00:00:05:023	-1	1	247				-0,003977574	0,003977574	0,982460754
6	00:00:05:023	1	2	251				0,003977574	0,007955148	0,99837105
7	00:00:05:024	2	0	249				0,007955148	0	0,990415902
8	00:00:05:024	0	4	251				0	0,015910296	0,99837105
9	00:00:05:024	1	1	252				0,003977574	0,003977574	1,002348624
10	00:00:05:024	2	0	250				0,007955148	0	0,994393476
11	00:00:05:024	3	2	245				0,011932722	0,007955148	0,974505607
12	00:00:05:024	-3	4	253				-0,011932722	0,015910296	1,006326198
13	00:00:05:024	1	0	249				0,003977574	0	0,990415902
14	00:00:05:024	0	3	252				0	0,011932722	1,002348624
15	00:00:05:024	0	4	250				0	0,015910296	0,994393476
16	00:00:05:024	0	4	252				0	0,015910296	1,002348624
17	00:00:05:024	1	2	248				0,003977574	0,007955148	0,986438328
18	00:00:05:024	4	1	243				0,015910296	0,003977574	0,966550459
19	00:00:05:024	2	4	248				0,007955148	0,015910296	0,986438328
20	00:00:05:024	0	2	247				0	0,007955148	0,982460754
